,美食,酒店,购物中心$百货商场$$家居建材$家电数码,超市$便利店$商铺,生活服务,美容$美发,旅游景点,休闲娱乐,运动健身,教育培训,医疗,汽车服务,飞机场$火车站$地铁站$加油加气站$长途汽车站$公交车站$公交线路口,银行$ATM$信用社,住宅区$宿舍,公司$写字楼,政府机构
174,60,16,15,132,60,59,3,34,6,18,46,10,11,31,120,112,60
175,60,6,60,162,60,38,2,27,6,3,33,7,14,27,120,78,31
176,60,4,60,76,42,12,3,18,2,4,11,1,7,11,90,68,25
177,31,8,3,38,25,4,0,4,2,2,1,7,6,3,79,15,8
178,18,3,4,11,7,2,2,8,4,2,0,4,6,5,11,14,1
179,4,2,2,3,1,1,2,1,0,0,1,1,1,0,19,1,0
180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183,1,0,3,5,2,0,2,2,0,0,0,0,1,0,0,14,2
184,60,3,25,56,37,17,1,6,1,6,6,12,6,5,29,55,5
185,60,13,5,88,43,28,3,27,0,4,12,27,8,9,68,45,11
186,60,14,52,139,60,75,2,51,2,7,34,11,8,15,98,66,10
187,60,12,22,104,48,36,7,17,9,3,15,11,7,19,112,50,29
188,60,12,17,61,35,34,4,16,4,4,21,13,13,8,104,59,40
189,60,29,28,131,60,60,4,35,9,15,32,39,11,11,106,68,60
190,60,10,31,116,49,24,2,15,5,1,18,15,7,8,104,57,15
191,5,0,9,7,0,0,1,0,0,0,0,0,2,0,15,5,6
192,29,1,11,49,23,6,1,4,0,1,6,3,4,5,68,15,6
193,12,0,13,20,7,0,0,1,0,0,1,3,3,7,2,30,5
194,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
196,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
198,7,1,6,11,6,1,3,1,1,0,1,5,1,0,2,28,1
199,33,5,20,27,21,10,0,3,0,0,2,14,9,5,24,28,6
200,60,11,26,84,60,38,2,15,4,5,22,23,10,15,90,39,8
201,60,2,23,83,35,17,1,12,2,2,9,14,4,8,53,30,7
202,59,6,11,84,27,14,2,8,1,3,7,7,4,9,67,23,10
203,60,6,12,80,54,34,6,15,8,6,7,3,7,36,62,48,37
204,41,6,26,74,32,16,1,10,3,0,9,9,10,4,75,60,5
205,1,2,3,4,1,6,0,3,2,0,1,6,2,0,23,14,9
206,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
208,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
211,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
212,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0
213,10,2,17,18,7,2,1,2,1,0,2,3,6,0,19,29,4
214,3,1,6,5,6,3,1,4,0,0,1,5,6,0,26,13,2
215,1,0,1,6,3,0,0,0,0,0,2,0,5,0,16,3,2
216,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
217,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
218,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,1
219,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
220,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
222,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,3
223,2,0,5,6,0,1,1,0,0,0,1,2,2,0,0,3,0
224,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
