,美食,酒店,购物中心$百货商场$$家居建材$家电数码,超市$便利店$商铺,生活服务,美容$美发,旅游景点,休闲娱乐,运动健身,教育培训,医疗,汽车服务,飞机场$火车站$地铁站$加油加气站$长途汽车站$公交车站$公交线路口,银行$ATM$信用社,住宅区$宿舍,公司$写字楼,政府机构
46,29,2,31,10,27,5,1,8,2,7,3,6,9,10,63,79,19
47,39,5,3,22,18,9,2,4,2,10,1,4,4,9,49,75,13
48,5,3,3,5,13,14,3,4,1,9,0,6,6,0,54,29,15
49,19,0,11,28,23,10,1,5,1,13,6,27,9,3,74,27,15
50,60,10,58,77,50,19,5,24,6,20,8,11,12,18,79,65,22
51,60,13,47,102,60,107,2,36,3,22,14,8,11,21,91,78,27
52,60,17,65,75,57,26,32,38,5,40,17,8,15,28,88,74,39
53,60,9,24,83,60,53,3,38,6,37,20,16,13,53,98,71,52
54,60,9,17,76,60,84,2,29,14,44,18,10,9,47,92,72,31
55,60,13,14,72,60,39,3,36,18,60,16,3,12,49,88,87,60
56,19,8,5,24,41,29,2,14,2,19,9,6,19,12,93,72,29
57,47,13,10,59,49,21,4,16,0,12,12,7,9,9,84,67,45
58,59,8,8,50,45,20,6,25,2,10,30,7,8,23,93,69,60
59,38,4,4,64,60,11,60,20,3,13,9,1,16,3,70,44,33
60,6,1,0,1,6,1,3,2,0,1,0,1,2,0,32,26,3
61,16,13,9,21,23,18,2,2,1,19,8,1,5,5,78,41,14
62,4,3,15,5,8,3,0,1,1,2,0,4,9,0,59,33,4
63,1,4,60,7,9,1,0,3,0,0,0,2,6,0,36,28,0
64,60,12,33,33,60,37,2,9,6,12,8,14,9,4,93,66,19
65,60,8,17,69,60,52,2,38,2,16,26,26,9,15,94,68,39
66,60,15,41,88,60,48,3,49,8,28,20,8,13,14,103,61,44
67,60,28,18,77,60,37,9,47,6,33,18,1,13,43,105,70,41
68,60,18,19,87,60,44,12,36,6,33,11,7,9,25,117,57,18
69,24,4,4,20,25,5,22,10,1,32,2,0,4,2,98,67,16
70,60,7,3,29,24,5,10,19,4,60,3,2,10,11,108,71,36
71,51,4,1,25,41,8,27,17,5,31,7,4,8,10,95,63,22
72,60,14,17,58,59,21,3,15,9,19,10,8,5,2,117,64,36
73,60,26,15,89,60,36,11,30,4,24,38,8,11,35,120,76,39
74,60,19,27,93,60,67,18,37,5,25,20,1,16,17,110,65,54
75,28,3,16,24,20,9,1,8,0,7,5,7,9,0,92,24,9
76,10,3,0,11,14,2,7,3,0,1,1,3,6,0,52,48,9
77,60,12,9,43,32,13,2,18,3,7,5,9,5,5,91,68,32
78,43,31,6,49,47,39,4,16,2,12,15,7,5,9,92,62,23
79,60,16,62,70,60,46,4,15,8,16,6,5,8,11,72,65,15
80,60,9,26,102,60,34,8,25,3,2,16,8,7,3,83,59,11
81,60,21,13,99,60,24,12,33,6,17,12,7,9,10,93,73,60
82,56,11,35,67,58,27,24,21,3,7,11,10,15,4,95,70,22
83,60,31,43,83,60,44,32,27,6,20,40,9,20,23,117,81,47
84,60,23,0,34,36,8,29,12,10,60,60,0,10,15,120,68,49
85,45,23,6,37,53,22,31,7,2,34,5,4,5,20,120,63,60
86,60,42,18,91,60,63,12,33,17,28,21,8,8,35,113,86,60
87,60,25,20,92,60,76,10,52,10,27,16,14,9,32,120,120,60
88,60,8,17,78,60,33,2,29,4,43,17,0,12,19,108,65,33
89,60,8,61,40,56,27,3,23,4,16,16,16,6,3,92,73,26
